filename,word_count,words_ucount,lines_count,ttr_count
poem_01.txt,142,116,34,0.817
poem_02.txt,75,62,17,0.827
poem_03.txt,41,34,14,0.829
poem_04.txt,38,35,13,0.921
poem_05.txt,82,50,26,0.61
poem_06.txt,72,62,23,0.861
poem_07.txt,108,93,29,0.861
poem_08.txt,53,52,19,0.981
poem_09.txt,90,70,29,0.778
poem_10.txt,74,67,29,0.905
poem_11.txt,61,57,17,0.934
poem_12.txt,56,51,19,0.911
poem_13.txt,110,87,34,0.791
poem_14.txt,61,56,21,0.918
poem_15.txt,116,98,34,0.845
poem_16.txt,71,58,25,0.817
poem_17.txt,59,59,24,1.0
poem_18.txt,39,36,15,0.923
poem_19.txt,76,70,22,0.921
poem_20.txt,133,109,38,0.82
poem_21.txt,75,72,24,0.96
poem_22.txt,106,94,29,0.887
poem_23.txt,84,81,24,0.964
poem_24.txt,51,45,19,0.882
poem_25.txt,142,124,45,0.873
poem_26.txt,55,48,19,0.873
poem_27.txt,48,46,14,0.958
poem_28.txt,40,40,14,1.0
poem_29.txt,80,60,22,0.75
poem_30.txt,62,49,24,0.79
poem_31.txt,43,38,16,0.884
poem_32.txt,116,107,34,0.922
poem_33.txt,91,68,24,0.747
poem_34.txt,140,116,32,0.829
poem_35.txt,318,232,91,0.73
poem_36.txt,300,210,71,0.7
poem_37.txt,49,44,16,0.898
poem_38.txt,169,148,46,0.876
poem_39.txt,103,90,24,0.874
poem_40.txt,349,291,101,0.834
poem_41.txt,47,42,16,0.894
poem_42.txt,78,74,31,0.949
poem_43.txt,87,73,22,0.839
poem_44.txt,123,110,31,0.894
poem_45.txt,53,50,20,0.943
poem_46.txt,46,43,12,0.935
poem_47.txt,88,71,29,0.807
poem_48.txt,98,81,41,0.827
poem_50.txt,50,46,16,0.92
poem_51.txt,44,39,14,0.886
poem_52.txt,87,79,22,0.908
